symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-26,245.0,CALL,0,1,2026-03-26T09:45:52.542,52,5.74,27,5.86,0.9458,-0.7872,0.7344,40.8899,0.0303,-0.3233,122.5095,0.5406,2026-03-26T09:45:52.713,2026-03-26T09:38:03.502,4.24,4.51,4.24,4.41,43.0,4.0,2026-03-26T09:38:03.502,4.41,22,2026-03-26 09:45:38 EDT,250.71,0.9772246819033943,-2.2775318096605672,251.0,5.800000000000001,0.1200000000000001,2.0689655172413812,313,237770.85690000004,22986.72,24639.36,29603.539999999997,-0.0203,0.05,0.02
IWM,2026-03-26,245.0,PUT,0,-1,2026-03-26T09:45:52.527,549,0.1,1094,0.11,-0.0612,-0.8749,0.8097,-153.314,0.0321,-0.3291,129.7558,0.5625,2026-03-26T09:45:52.713,2026-03-26T09:45:51.414,0.26,0.27,0.1,0.1,9934.0,553.0,2026-03-26T09:45:51.414,0.1,22,2026-03-26 09:45:38 EDT,250.71,0.9772246819033943,-2.2775318096605672,251.0,0.10500000000000001,0.009999999999999995,9.523809523809518,2800,-2253381.48,-226716.0,244972.00000000003,-17136.0,0.0063,0.0,0.0
IWM,2026-03-26,246.0,CALL,0,1,2026-03-26T09:45:52.428,49,4.8,2,4.91,0.9122,-1.1054,1.0657,47.0594,0.0451,-0.4044,149.6484,0.5281,2026-03-26T09:45:52.713,2026-03-26T09:44:09.159,3.37,4.21,3.37,4.21,52.0,12.0,2026-03-26T09:44:09.159,4.21,22,2026-03-26 09:45:38 EDT,250.71,0.9812133540744286,-1.8786645925571408,251.0,4.855,0.11000000000000032,2.265705458290429,612,691989.6852000001,65220.84000000001,67650.48,55826.64,-0.0125,0.045,0.01
IWM,2026-03-26,246.0,PUT,0,-1,2026-03-26T09:45:52.528,210,0.16,731,0.17,-0.094,-1.1717,1.1219,-146.5378,0.0461,-0.4016,152.9739,0.5437,2026-03-26T09:45:52.713,2026-03-26T09:45:52.566,0.41,0.45,0.15,0.17,6287.0,921.0,2026-03-26T09:45:52.566,0.17,22,2026-03-26 09:45:38 EDT,250.71,0.9812133540744286,-1.8786645925571408,251.0,0.165,0.010000000000000009,6.060606060606066,4198,-4851935.4738,-470973.61999999994,491879.66,-39461.200000000004,0.0062,0.0,0.0
IWM,2026-03-26,247.0,CALL,0,1,2026-03-26T09:45:52.583,46,3.94,1,4.0,0.8591,-1.5271,1.495,54.2597,0.0638,-0.4536,166.2307,0.5234,2026-03-26T09:45:52.713,2026-03-26T09:45:47.197,2.8,3.94,2.58,3.94,38.0,25.0,2026-03-26T09:45:47.197,3.94,22,2026-03-26 09:45:38 EDT,250.71,0.9852020262454628,-1.4797973754537146,251.0,3.9699999999999998,0.06000000000000005,1.51133501259446,681,1089279.7937999999,101809.5,103995.51,58504.71,0.0,0.06,-0.02
IWM,2026-03-26,247.0,PUT,0,-1,2026-03-26T09:45:52.559,525,0.25,177,0.26,-0.1401,-1.4929,1.4899,-140.0567,0.0638,-0.4548,166.1642,0.5218,2026-03-26T09:45:52.713,2026-03-26T09:45:52.446,0.68,0.69,0.25,0.26,4268.0,710.0,2026-03-26T09:45:52.446,0.26,22,2026-03-26 09:45:38 EDT,250.71,0.9852020262454628,-1.4797973754537146,251.0,0.255,0.010000000000000009,3.921568627450984,6228,-9961871.5944,-927909.72,929778.12,-87254.28,0.0078,0.0,0.0
IWM,2026-03-26,248.0,CALL,0,1,2026-03-26T09:45:52.582,50,3.09,7,3.14,0.7934,-1.8681,1.9092,63.9473,0.0848,-0.4566,160.6051,0.5031,2026-03-26T09:45:52.713,2026-03-26T09:45:47.788,1.99,3.14,1.87,3.09,596.0,94.0,2026-03-26T09:45:47.788,3.09,22,2026-03-26 09:45:38 EDT,250.71,0.9891906984164971,-1.0809301583502884,251.0,3.115,0.050000000000000266,1.6051364365971192,530,1126791.0240000002,101187.59999999999,99009.3,42050.200000000004,-0.0015,0.055,0.01
IWM,2026-03-26,248.0,PUT,0,-1,2026-03-26T09:45:52.491,157,0.4,190,0.41,-0.208,-1.8624,1.9169,-130.3259,0.0846,-0.4527,160.2448,0.5062,2026-03-26T09:45:52.713,2026-03-26T09:45:51.739,1.02,1.05,0.4,0.41,4333.0,937.0,2026-03-26T09:45:51.739,0.41,22,2026-03-26 09:45:38 EDT,250.71,0.9891906984164971,-1.0809301583502884,251.0,0.405,0.009999999999999953,2.469135802469124,4437,-9410906.284199998,-850528.5299999999,826346.88,-92289.59999999999,0.0031,-0.005,-0.01
IWM,2026-03-26,249.0,CALL,0,1,2026-03-26T09:45:52.573,59,2.31,4,2.35,0.7036,-2.1863,2.3127,75.6823,0.106,-0.3703,125.7932,0.4873,2026-03-26T09:45:52.713,2026-03-26T09:45:46.228,1.33,2.35,1.27,2.31,1947.0,387.0,2026-03-26T09:45:46.228,2.31,22,2026-03-26 09:45:38 EDT,250.71,0.9931793705875314,-0.6820629412468621,251.0,2.33,0.040000000000000036,1.716738197424894,1035,2750539.4099999997,239364.44999999998,226282.05000000002,72822.6,0.001,0.035,0.03
IWM,2026-03-26,249.0,PUT,0,-1,2026-03-26T09:45:52.53,40,0.63,147,0.64,-0.2988,-2.2002,2.3216,-118.8692,0.105,-0.3613,124.4855,0.4941,2026-03-26T09:45:52.713,2026-03-26T09:45:52.838,1.47,1.47,0.62,0.63,4294.0,849.0,2026-03-26T09:45:52.838,0.63,22,2026-03-26 09:45:38 EDT,250.71,0.9931793705875314,-0.6820629412468621,251.0,0.635,0.010000000000000009,1.5748031496063006,2834,-7460377.47,-657941.4400000001,623536.68,-84679.92,0.0049,0.0,0.0
