symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,245.0,CALL,0,1,2026-03-18T14:33:07.179,21,3.32,2,3.41,0.918,-3.0014,0.4833,67.8249,0.0637,-0.2814,632.5748,0.7437,2026-03-18T14:33:07.774,2026-03-18T14:20:30.519,4.16,4.35,2.8,3.5,519.0,153.0,2026-03-18T14:20:30.519,3.5,290,2026-03-18 14:32:56 EDT,248.27,0.9868288556813146,-1.3171144318685344,248.0,3.365,0.0900000000000003,2.6745913818722227,174,11.083800000000002,84.0942,522.2436,159.732,0.0047,0.0,0.0
IWM,2026-03-18,245.0,PUT,0,-1,2026-03-18T14:33:07.577,40,0.1,444,0.11,-0.0885,-3.2536,0.512,-218.5192,0.0655,-0.2801,649.6833,0.7671,2026-03-18T14:33:07.774,2026-03-18T14:33:05.535,0.52,0.64,0.06,0.11,27029.0,4826.0,2026-03-18T14:33:05.535,0.11,290,2026-03-18 14:32:56 EDT,248.27,0.9868288556813146,-1.3171144318685344,248.0,0.10500000000000001,0.009999999999999995,9.523809523809518,4247,-278.1785,-2174.464,13818.039200000001,-375.85949999999997,0.0046,0.0,0.0
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T14:33:07.823,6,2.44,10,2.5,0.8383,-4.7339,0.7818,84.2526,0.1055,-0.3294,724.0173,0.7273,2026-03-18T14:33:07.774,2026-03-18T14:21:08.963,3.34,3.5,2.14,2.42,3957.0,412.0,2026-03-18T14:21:08.963,2.42,290,2026-03-18 14:32:56 EDT,248.27,0.9908567285616465,-0.9143271438353447,248.0,2.4699999999999998,0.06000000000000005,2.4291497975708527,243,25.636499999999998,189.97740000000002,1150.3377,203.70690000000002,0.0164,0.005,-0.01
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T14:33:07.578,85,0.19,126,0.2,-0.1577,-4.5601,0.7695,-206.4032,0.1055,-0.335,724.3049,0.7156,2026-03-18T14:33:07.774,2026-03-18T14:33:07.464,0.8,0.95,0.12,0.2,34228.0,5519.0,2026-03-18T14:33:07.464,0.2,290,2026-03-18 14:32:56 EDT,248.27,0.9908567285616465,-0.9143271438353447,248.0,0.195,0.010000000000000009,5.128205128205133,1601,-168.9055,-1231.9695,7300.7201000000005,-252.4777,-0.0117,-0.01,0.0
IWM,2026-03-18,247.0,CALL,0,1,2026-03-18T14:33:07.705,5,1.64,15,1.68,0.7186,-6.2238,1.0768,107.4426,0.152,-0.2765,580.3763,0.6953,2026-03-18T14:33:07.774,2026-03-18T14:32:31.68,2.68,2.84,1.48,1.72,7405.0,1090.0,2026-03-18T14:32:31.68,1.72,290,2026-03-18 14:32:56 EDT,248.27,0.9948846014419784,-0.511539855802155,248.0,1.66,0.040000000000000036,2.40963855421687,370,56.24,398.416,2302.806,265.882,0.0016,0.0,0.0
IWM,2026-03-18,247.0,PUT,0,-1,2026-03-18T14:33:07.628,51,0.38,86,0.39,-0.2791,-6.1062,1.0728,-182.0193,0.1531,-0.2818,584.8195,0.6875,2026-03-18T14:33:07.774,2026-03-18T14:33:07.352,1.09,1.37,0.23,0.39,33823.0,6634.0,2026-03-18T14:33:07.352,0.39,290,2026-03-18 14:32:56 EDT,248.27,0.9948846014419784,-0.511539855802155,248.0,0.385,0.010000000000000009,2.5974025974025996,3290,-503.69900000000007,-3529.5119999999997,20089.398,-918.239,-0.0062,-0.01,0.0
IWM,2026-03-18,248.0,CALL,0,1,2026-03-18T14:33:07.609,21,0.97,13,0.99,0.5531,-6.8941,1.262,140.1438,0.1883,-0.0752,147.9865,0.6578,2026-03-18T14:33:07.774,2026-03-18T14:33:05.069,1.82,2.14,0.92,0.97,23644.0,4199.0,2026-03-18T14:33:05.069,0.97,290,2026-03-18 14:32:56 EDT,248.27,0.9989124743223103,-0.10875256776896533,248.0,0.98,0.020000000000000018,2.040816326530614,642,120.8886,810.204,4426.0122,355.09020000000004,-0.0062,-0.01,0.0
IWM,2026-03-18,248.0,PUT,0,-1,2026-03-18T14:33:07.61,19,0.71,35,0.72,-0.4469,-6.8861,1.262,-156.2157,0.1878,-0.0748,147.6316,0.6593,2026-03-18T14:33:07.774,2026-03-18T14:33:05.514,1.45,1.89,0.47,0.71,30213.0,6576.0,2026-03-18T14:33:05.514,0.71,290,2026-03-18 14:32:56 EDT,248.27,0.9989124743223103,-0.10875256776896533,248.0,0.715,0.010000000000000009,1.3986013986014,8633,-1621.2774,-10894.846,59447.7013,-3858.0877,-0.0063,-0.01,0.0
IWM,2026-03-18,249.0,CALL,0,1,2026-03-18T14:33:07.812,42,0.5,73,0.51,0.3618,-6.3297,1.1962,179.6647,0.1841,0.2125,-411.6831,0.6374,2026-03-18T14:33:07.774,2026-03-18T14:33:05.893,1.33,1.59,0.47,0.52,35122.0,5804.0,2026-03-18T14:33:05.893,0.52,290,2026-03-18 14:32:56 EDT,248.27,1.0029403472026421,0.29403472026422434,248.0,0.505,0.010000000000000009,1.980198019801982,905,166.6105,1082.561,5728.3785,327.42900000000003,-0.0063,-0.01,0.0
IWM,2026-03-18,249.0,PUT,0,-1,2026-03-18T14:33:07.642,1,1.24,8,1.25,-0.6361,-6.4095,1.1984,-127.3871,0.1818,0.2069,-406.5914,0.6468,2026-03-18T14:33:07.774,2026-03-18T14:32:54.538,1.99,2.5,0.71,1.26,10353.0,2298.0,2026-03-18T14:32:54.538,1.26,290,2026-03-18 14:32:56 EDT,248.27,1.0029403472026421,0.29403472026422434,248.0,1.245,0.010000000000000009,0.8032128514056232,1415,-257.24699999999996,-1695.7359999999999,9069.442500000001,-900.0815,-0.0063,0.0,0.0
IWM,2026-03-18,250.0,CALL,0,1,2026-03-18T14:33:07.707,35,0.23,200,0.24,0.2015,-4.7826,0.8976,217.3858,0.1372,0.3698,-719.7039,0.6421,2026-03-18T14:33:07.774,2026-03-18T14:33:05.569,1.01,1.11,0.2,0.24,39639.0,6324.0,2026-03-18T14:33:05.569,0.24,290,2026-03-18 14:32:56 EDT,248.27,1.0069682200829742,0.6968220082974139,248.0,0.235,0.009999999999999981,4.255319148936162,3872,531.2384,3475.5072,18518.2272,780.2080000000001,0.0015,0.0,0.0
IWM,2026-03-18,250.0,PUT,0,-1,2026-03-18T14:33:07.811,7,1.93,11,1.98,-0.8019,-4.6384,0.8881,-102.0949,0.1377,0.3768,-722.6485,0.6328,2026-03-18T14:33:07.774,2026-03-18T14:32:11.143,2.47,3.26,1.44,1.85,7093.0,995.0,2026-03-18T14:32:11.143,1.85,290,2026-03-18 14:32:56 EDT,248.27,1.0069682200829742,0.6968220082974139,248.0,1.955,0.050000000000000044,2.55754475703325,3759,-517.6143,-3338.3679,17435.7456,-3014.3421,-0.0093,-0.01,0.0
IWM,2026-03-18,251.0,CALL,0,1,2026-03-18T14:33:07.089,266,0.09,285,0.1,0.094,-2.8583,0.5353,259.2738,0.0816,0.3451,-672.7987,0.6437,2026-03-18T14:33:07.774,2026-03-18T14:33:03.162,0.6,0.73,0.09,0.09,23115.0,4045.0,2026-03-18T14:33:03.162,0.09,290,2026-03-18 14:32:56 EDT,248.27,1.010996092963306,1.0996092963306037,248.0,0.095,0.010000000000000009,10.526315789473694,2937,239.65920000000003,1572.1761,8394.8271,276.078,0.0,0.0,0.0
IWM,2026-03-18,251.0,PUT,0,-1,2026-03-18T14:33:07.824,8,2.79,1,2.86,-0.9049,-2.8712,0.5397,-79.6646,0.0819,0.3446,-675.2934,0.6468,2026-03-18T14:33:07.774,2026-03-18T14:24:43.19,3.03,4.04,2.2,2.93,703.0,205.0,2026-03-18T14:24:43.19,2.93,290,2026-03-18 14:32:56 EDT,248.27,1.010996092963306,1.0996092963306037,248.0,2.825,0.06999999999999984,2.4778761061946843,2977,-243.8163,-1606.6869,8547.5624,-2693.8873000000003,-0.0344,-0.015,-0.01
IWM,2026-03-18,252.0,PUT,0,-1,2026-03-18T14:33:07.608,10,3.73,16,3.83,-0.9469,-2.0238,0.3452,-62.202,0.0473,0.2455,-532.1326,0.7156,2026-03-18T14:33:07.774,2026-03-18T14:31:24.493,4.01,4.77,3.3,3.65,160.0,77.0,2026-03-18T14:31:24.493,3.65,290,2026-03-18 14:32:56 EDT,248.27,1.015023965843638,1.5023965843637932,248.0,3.7800000000000002,0.10000000000000009,2.645502645502648,1231,-58.2263,-424.9412,2491.2978000000003,-1165.6339,0.0,-0.005,0.01
IWM,2026-03-19,239.0,CALL,1,1,2026-03-18T14:33:08.082,12,9.38,3,9.5,0.9438,-0.3428,1.5125,24.8228,0.0188,-0.3935,30.2565,0.4492,2026-03-18T14:33:08.585,2026-03-18T13:45:57.197,9.91,9.91,9.91,9.91,1.0,1.0,2026-03-18T13:45:57.197,9.91,290,2026-03-18 14:32:56 EDT,248.27,0.9626616183993233,-3.733838160067672,248.0,9.440000000000001,0.11999999999999922,1.2711864406779576,7,0.1316,10.5875,2.3996,6.6066,-0.0117,-0.01,0.02
IWM,2026-03-19,239.0,PUT,1,-1,2026-03-18T14:33:08.442,149,0.15,36,0.16,-0.0576,-0.3287,1.5451,-94.8352,0.019,-0.395,30.6379,0.4531,2026-03-18T14:33:08.585,2026-03-18T14:32:34.359,0.38,0.38,0.14,0.16,4758.0,231.0,2026-03-18T14:32:34.359,0.16,290,2026-03-18 14:32:56 EDT,248.27,0.9626616183993233,-3.733838160067672,248.0,0.155,0.010000000000000009,6.451612903225811,1795,-34.105,-2773.4545,590.0165,-103.392,-0.0058,-0.01,0.0
IWM,2026-03-19,240.0,CALL,1,1,2026-03-18T14:33:08.109,12,8.43,10,8.55,0.9264,-0.408,1.8662,27.092,0.0237,-0.4536,34.0201,0.4384,2026-03-18T14:33:08.585,2026-03-18T10:13:49.347,8.72,9.04,8.05,8.05,16.0,16.0,2026-03-18T10:13:49.347,8.05,290,2026-03-18 14:32:56 EDT,248.27,0.9666894912796552,-3.3310508720344827,248.0,8.49,0.120000000000001,1.4134275618374674,36,0.8532,67.1832,14.687999999999999,33.3504,-0.0049,-0.005,0.01
IWM,2026-03-19,240.0,PUT,1,-1,2026-03-18T14:33:08.443,70,0.2,7,0.21,-0.0771,-0.4051,1.9344,-91.4687,0.0242,-0.4537,34.6353,0.4462,2026-03-18T14:33:08.585,2026-03-18T14:32:41.45,0.45,0.48,0.15,0.21,9213.0,638.0,2026-03-18T14:32:41.45,0.21,290,2026-03-18 14:32:56 EDT,248.27,0.9666894912796552,-3.3310508720344827,248.0,0.20500000000000002,0.009999999999999981,4.878048780487795,4783,-115.7486,-9252.2352,1937.5933,-368.7693,0.0,-0.01,-0.0
IWM,2026-03-19,241.0,CALL,1,1,2026-03-18T14:33:08.345,13,7.5,10,7.62,0.9031,-0.4866,2.2947,29.6572,0.0298,-0.5093,37.4017,0.4296,2026-03-18T14:33:08.585,2026-03-18T11:15:30.235,7.01,7.82,7.01,7.82,5.0,5.0,2026-03-18T11:15:30.235,7.82,290,2026-03-18 14:32:56 EDT,248.27,0.9707173641599871,-2.928263584001293,248.0,7.5600000000000005,0.1200000000000001,1.5873015873015885,56,1.6688,128.50320000000002,27.249599999999997,50.5736,-0.0079,-0.01,0.02
IWM,2026-03-19,241.0,PUT,1,-1,2026-03-18T14:33:08.443,34,0.28,30,0.29,-0.1003,-0.4821,2.3546,-88.8331,0.0301,-0.5062,37.7659,0.4365,2026-03-18T14:33:08.585,2026-03-18T14:32:30.05,0.54,0.61,0.21,0.26,3439.0,621.0,2026-03-18T14:32:30.05,0.26,290,2026-03-18 14:32:56 EDT,248.27,0.9707173641599871,-2.928263584001293,248.0,0.28500000000000003,0.009999999999999953,3.5087719298245448,1104,-33.230399999999996,-2599.4784,532.2384,-110.7312,0.001,0.0,0.0
IWM,2026-03-19,242.0,CALL,1,1,2026-03-18T14:33:08.362,17,6.6,8,6.72,0.8722,-0.5792,2.7966,32.5141,0.0368,-0.5501,39.7487,0.4233,2026-03-18T14:33:08.585,2026-03-18T13:59:45.025,7.04,7.25,6.25,7.25,22.0,9.0,2026-03-18T13:59:45.025,7.25,290,2026-03-18 14:32:56 EDT,248.27,0.974745237040319,-2.525476295968103,248.0,6.66,0.1200000000000001,1.8018018018018036,17,0.6255999999999999,47.5422,9.846400000000001,14.827399999999999,-0.0063,-0.01,0.02
IWM,2026-03-19,242.0,PUT,1,-1,2026-03-18T14:33:08.34,28,0.38,25,0.39,-0.1306,-0.571,2.841,-85.4323,0.037,-0.5447,39.8642,0.4287,2026-03-18T14:33:08.585,2026-03-18T14:32:59.442,0.66,0.77,0.29,0.41,3203.0,470.0,2026-03-18T14:32:59.442,0.41,290,2026-03-18 14:32:56 EDT,248.27,0.974745237040319,-2.525476295968103,248.0,0.385,0.010000000000000009,2.5974025974025996,1892,-70.00399999999999,-5375.1720000000005,1080.3319999999999,-247.09519999999998,0.0005,0.0,0.0
IWM,2026-03-19,243.0,CALL,1,1,2026-03-18T14:33:08.095,14,5.74,10,5.85,0.8346,-0.6725,3.3258,35.7956,0.0446,-0.5678,40.2525,0.416,2026-03-18T14:33:08.585,2026-03-18T13:21:08.641,6.14,6.37,5.46,6.02,19.0,12.0,2026-03-18T13:21:08.641,6.02,290,2026-03-18 14:32:56 EDT,248.27,0.9787731099206509,-2.1226890079349134,248.0,5.795,0.10999999999999943,1.8981880931837694,24,1.0704,79.8192,16.14,20.0304,-0.0058,-0.01,0.02
IWM,2026-03-19,243.0,PUT,1,-1,2026-03-18T14:33:08.485,44,0.51,48,0.53,-0.1697,-0.6717,3.3824,-81.0973,0.0445,-0.5561,40.1653,0.4238,2026-03-18T14:33:08.585,2026-03-18T14:32:59.442,0.89,0.99,0.4,0.54,2681.0,459.0,2026-03-18T14:32:59.442,0.54,290,2026-03-18 14:32:56 EDT,248.27,0.9787731099206509,-2.1226890079349134,248.0,0.52,0.020000000000000018,3.8461538461538494,1672,-74.404,-5655.3728,1123.0824,-283.73839999999996,0.0034,0.005,0.01
IWM,2026-03-19,244.0,CALL,1,1,2026-03-18T14:33:08.095,16,4.92,7,5.02,0.7872,-0.7742,3.8859,39.3298,0.0526,-0.5459,38.2458,0.4121,2026-03-18T14:33:08.585,2026-03-18T14:05:50.453,5.71,5.76,4.47,5.46,46.0,26.0,2026-03-18T14:05:50.453,5.46,290,2026-03-18 14:32:56 EDT,248.27,0.9828009828009827,-1.7199017199017241,248.0,4.97,0.09999999999999964,2.012072434607639,16,0.8416,62.1744,12.3872,12.5952,-0.0048,-0.01,0.02
