symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,244.0,CALL,0,1,2026-03-18T14:47:12.901,19,3.44,16,3.54,0.9468,-2.329,0.3153,67.1354,0.0503,-0.2353,627.7757,0.739,2026-03-18T14:47:13.681,2026-03-18T14:45:08.83,5.0,5.1,3.5,3.5,308.0,71.0,2026-03-18T14:45:08.83,3.5,321,2026-03-18 14:47:01 EDT,247.44,0.9860976398318785,-1.3902360168121555,247.0,3.49,0.10000000000000009,2.865329512893985,92,4.6276,29.007600000000004,214.26800000000003,87.1056,,,
IWM,2026-03-18,244.0,PUT,0,-1,2026-03-18T14:47:13.53,326,0.05,1468,0.06,-0.0542,-2.3573,0.3205,-268.9413,0.0508,-0.2362,634.045,0.7437,2026-03-18T14:47:13.681,2026-03-18T14:46:45.649,0.36,0.43,0.03,0.06,21294.0,2648.0,2026-03-18T14:46:45.649,0.06,321,2026-03-18 14:47:01 EDT,247.44,0.9860976398318785,-1.3902360168121555,247.0,0.055,0.009999999999999995,18.181818181818173,10503,-533.5524,-3366.2115,24758.7219,-569.2626,0.0141,0.0,0.0
IWM,2026-03-18,245.0,CALL,0,1,2026-03-18T14:47:13.544,2,2.5,50,2.59,0.8947,-3.5631,0.5302,87.1488,0.0926,-0.3357,817.5747,0.6749,2026-03-18T14:47:13.681,2026-03-18T14:43:10.819,4.16,4.35,2.8,3.0,530.0,158.0,2026-03-18T14:43:10.819,3.0,321,2026-03-18 14:47:01 EDT,247.44,0.9901390236016813,-0.9860976398318776,247.0,2.545,0.08999999999999986,3.5363457760314283,174,16.1124,92.2548,619.9793999999999,155.67780000000002,0.0,0.08,0.02
IWM,2026-03-18,245.0,PUT,0,-1,2026-03-18T14:47:13.542,582,0.09,424,0.1,-0.0988,-3.2884,0.5068,-273.2726,0.0911,-0.3395,803.9251,0.6562,2026-03-18T14:47:13.681,2026-03-18T14:46:53.84,0.52,0.64,0.06,0.1,28954.0,5075.0,2026-03-18T14:46:53.84,0.1,321,2026-03-18 14:47:01 EDT,247.44,0.9901390236016813,-0.9860976398318776,247.0,0.095,0.010000000000000009,10.526315789473694,4247,-386.9017,-2152.3796,13965.8348,-419.6036,-0.0031,-0.01,0.0
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T14:47:13.47,22,1.61,37,1.7,0.7928,-5.0514,0.8324,118.9114,0.1607,-0.3786,833.9023,0.6109,2026-03-18T14:47:13.681,2026-03-18T14:45:07.879,3.34,3.5,1.7,1.7,4006.0,420.0,2026-03-18T14:45:07.879,1.7,321,2026-03-18 14:47:01 EDT,247.44,0.994180407371484,-0.5819592628515995,247.0,1.655,0.08999999999999986,5.438066465256789,243,39.0501,202.2732,1227.4902,192.6504,-0.0047,0.065,0.03
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T14:47:13.249,1,0.21,318,0.22,-0.2077,-5.048,0.8339,-245.0425,0.1605,-0.3773,833.0536,0.6125,2026-03-18T14:47:13.681,2026-03-18T14:47:09.679,0.8,0.95,0.12,0.21,36319.0,5976.0,2026-03-18T14:47:09.679,0.21,321,2026-03-18 14:47:01 EDT,247.44,0.994180407371484,-0.5819592628515995,247.0,0.215,0.010000000000000009,4.651162790697678,1601,-256.9605,-1335.0738999999999,8081.848,-332.5277,-0.0031,-0.03,0.0
IWM,2026-03-18,247.0,CALL,0,1,2026-03-18T14:47:13.469,14,0.9,3,0.92,0.6053,-6.3912,1.1208,164.4186,0.2299,-0.1743,359.9565,0.5749,2026-03-18T14:47:13.681,2026-03-18T14:47:04.864,2.68,2.84,0.89,0.92,7727.0,1212.0,2026-03-18T14:47:04.864,0.92,321,2026-03-18 14:47:01 EDT,247.44,0.9982217911412868,-0.17782088587132144,247.0,0.91,0.020000000000000018,2.1978021978021998,370,85.063,414.696,2364.744,223.96099999999998,-0.0079,0.03,0.0
IWM,2026-03-18,247.0,PUT,0,-1,2026-03-18T14:47:13.529,26,0.47,118,0.48,-0.3946,-6.3665,1.1208,-207.8891,0.2299,-0.1743,359.9558,0.5749,2026-03-18T14:47:13.681,2026-03-18T14:47:10.874,1.09,1.37,0.23,0.48,40619.0,7894.0,2026-03-18T14:47:10.874,0.48,321,2026-03-18 14:47:01 EDT,247.44,0.9982217911412868,-0.17782088587132144,247.0,0.475,0.010000000000000009,2.105263157894739,3290,-756.371,-3687.4320000000002,20945.785,-1298.234,-0.0172,-0.05,0.0
IWM,2026-03-18,248.0,CALL,0,1,2026-03-18T14:47:13.442,15,0.41,35,0.42,0.3675,-6.0965,1.0969,221.4528,0.2306,0.2317,-471.4649,0.5609,2026-03-18T14:47:13.681,2026-03-18T14:47:11.161,1.82,2.14,0.4,0.41,25443.0,4566.0,2026-03-18T14:47:11.161,0.41,321,2026-03-18 14:47:01 EDT,247.44,1.0022631749110895,0.22631749110895663,247.0,0.415,0.010000000000000009,2.40963855421687,642,148.0452,704.2098,3913.953,235.935,-0.0016,0.02,0.0
IWM,2026-03-18,248.0,PUT,0,-1,2026-03-18T14:47:13.529,24,0.96,22,0.98,-0.6324,-6.0718,1.0968,-161.445,0.2306,0.2317,-471.507,0.5609,2026-03-18T14:47:13.681,2026-03-18T14:47:12.902,1.45,1.89,0.47,0.98,33027.0,7281.0,2026-03-18T14:47:12.902,0.98,321,2026-03-18 14:47:01 EDT,247.44,1.0022631749110895,0.22631749110895663,247.0,0.97,0.020000000000000018,2.061855670103095,8633,-1990.7698,-9468.6744,52417.8494,-5459.5091999999995,-0.0125,-0.075,-0.01
