symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,245.0,CALL,0,1,2026-03-18T15:21:12.836,36,1.57,64,1.66,0.9222,-1.963,0.3833,141.2359,0.1309,-0.4882,901.091,0.4218,2026-03-18T15:21:12.926,2026-03-18T15:17:58.503,4.16,4.35,1.7,1.88,555.0,169.0,2026-03-18T15:17:58.503,1.88,397,2026-03-18 15:21:00 EDT,246.57,0.9936326398183072,-0.6367360181692798,247.0,1.615,0.08999999999999986,5.572755417956648,174,22.7766,66.6942,341.562,160.46280000000002,-0.0469,-0.23,0.02
IWM,2026-03-18,245.0,PUT,0,-1,2026-03-18T15:21:12.806,1672,0.04,104,0.05,-0.0777,-1.9385,0.3833,-491.1835,0.1309,-0.4882,901.091,0.4218,2026-03-18T15:21:12.926,2026-03-18T15:21:08.365,0.52,0.64,0.03,0.05,35952.0,5940.0,2026-03-18T15:21:08.365,0.05,397,2026-03-18 15:21:00 EDT,246.57,0.9936326398183072,-0.6367360181692798,247.0,0.045,0.010000000000000002,22.222222222222225,4247,-555.9322999999999,-1627.8751,8232.8095,-329.99190000000004,-0.0196,0.01,0.0
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T15:21:12.832,20,0.76,53,0.8,0.6998,-4.5912,0.9162,221.1246,0.3173,-0.4342,788.3712,0.416,2026-03-18T15:21:12.926,2026-03-18T15:21:02.05,3.34,3.5,0.88,0.88,5031.0,641.0,2026-03-18T15:21:02.05,0.88,397,2026-03-18 15:21:00 EDT,246.57,0.997688283246137,-0.23117167538629727,247.0,0.78,0.040000000000000036,5.128205128205133,243,77.10390000000001,222.63660000000002,1115.6616,170.0514,-0.0019,-0.175,-0.01
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T15:21:12.816,180,0.2,3,0.21,-0.2958,-4.4298,0.9101,-364.0377,0.3228,-0.4524,802.156,0.4062,2026-03-18T15:21:12.926,2026-03-18T15:21:13.129,0.8,0.95,0.11,0.21,55807.0,8974.0,2026-03-18T15:21:13.286,0.2,397,2026-03-18 15:21:00 EDT,246.57,0.997688283246137,-0.23117167538629727,247.0,0.20500000000000002,0.009999999999999981,4.878048780487795,1601,-516.8027999999999,-1457.0701000000001,7092.1098,-473.5758,0.0,0.06,0.0
IWM,2026-03-18,247.0,CALL,0,1,2026-03-18T15:21:12.838,65,0.23,4,0.24,0.3385,-4.5029,0.9636,363.4423,0.3572,0.3958,-677.1879,0.3886,2026-03-18T15:21:12.926,2026-03-18T15:21:12.336,2.68,2.84,0.23,0.24,17323.0,2558.0,2026-03-18T15:21:12.336,0.24,397,2026-03-18 15:21:00 EDT,246.57,1.001743926673967,0.17439266739668527,247.0,0.235,0.009999999999999981,4.255319148936162,370,132.16400000000002,356.532,1666.073,125.245,-0.002,-0.09,-0.0
IWM,2026-03-18,247.0,PUT,0,-1,2026-03-18T15:21:12.838,86,0.66,17,0.68,-0.6569,-4.6373,0.9685,-241.7885,0.3485,0.375,-660.8964,0.4003,2026-03-18T15:21:12.926,2026-03-18T15:21:13.101,1.09,1.37,0.23,0.67,51134.0,10015.0,2026-03-18T15:21:13.101,0.67,397,2026-03-18 15:21:00 EDT,246.57,1.001743926673967,0.17439266739668527,247.0,0.67,0.020000000000000018,2.985074626865674,3290,-1146.5649999999998,-3186.3650000000002,15256.716999999999,-2161.201,0.0175,0.155,0.01
IWM,2026-03-18,248.0,CALL,0,1,2026-03-18T15:21:12.821,73,0.04,359,0.05,0.0834,-1.8966,0.4041,525.3621,0.149,0.5446,-933.1468,0.3906,2026-03-18T15:21:12.926,2026-03-18T15:21:12.312,1.82,2.14,0.04,0.04,32568.0,5615.0,2026-03-18T15:21:13.319,0.04,397,2026-03-18 15:21:00 EDT,246.57,1.0057995701017968,0.5799570101796678,247.0,0.045,0.010000000000000002,22.222222222222225,642,95.658,259.4322,1217.6172000000001,53.5428,0.0039,-0.02,-0.0
IWM,2026-03-18,248.0,PUT,0,-1,2026-03-18T15:21:12.83,43,1.43,9,1.48,-0.9461,-1.1391,0.2884,-160.9813,0.1236,0.5252,-773.9539,0.3359,2026-03-18T15:21:12.926,2026-03-18T15:21:10.087,1.45,1.89,0.47,1.48,37747.0,7843.0,2026-03-18T15:21:10.087,1.48,397,2026-03-18 15:21:00 EDT,246.57,1.0057995701017968,0.5799570101796678,247.0,1.455,0.050000000000000044,3.436426116838491,8633,-1067.0388,-2489.7572,9833.8503,-8167.6813,-0.0508,0.195,0.01
IWM,2026-03-19,238.0,CALL,1,1,2026-03-18T15:21:13.527,16,8.69,11,8.8,0.946,-0.3154,1.4332,26.6887,0.0199,-0.4136,30.6922,0.4199,2026-03-18T15:21:13.643,2026-03-18T15:00:47.631,10.11,10.11,8.94,8.94,2.0,2.0,2026-03-18T15:00:47.631,8.94,397,2026-03-18 15:21:00 EDT,246.59,0.9651648485340037,-3.48351514659962,247.0,8.745000000000001,0.11000000000000121,1.2578616352201393,9,0.1791,12.8988,2.8386,8.514,-0.0205,-0.225,0.01
IWM,2026-03-19,238.0,PUT,1,-1,2026-03-18T15:21:13.468,110,0.15,143,0.16,-0.0604,-0.3309,1.5678,-99.4945,0.021,-0.4204,32.3537,0.4355,2026-03-18T15:21:13.643,2026-03-18T15:20:47.62,0.3,0.3,0.09,0.14,1009.0,132.0,2026-03-18T15:20:47.62,0.14,397,2026-03-18 15:21:00 EDT,246.59,0.9651648485340037,-3.48351514659962,247.0,0.155,0.010000000000000009,6.451612903225811,1554,-32.634,-2436.3612000000003,514.2186,-93.86160000000001,0.0059,0.02,0.0
