symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-18,246.0,CALL,0,1,2026-03-18T15:36:02.513,8,0.67,19,0.69,0.7661,-2.9707,0.8073,273.4578,0.3817,-0.7272,967.0826,0.3046,2026-03-18T15:36:02.622,2026-03-18T15:35:59.393,3.34,3.5,0.59,0.67,6099.0,767.0,2026-03-18T15:35:59.393,0.67,430,2026-03-18 15:35:51 EDT,246.58,0.9976478222078027,-0.23521777921973092,247.0,0.6799999999999999,0.019999999999999907,2.9411764705882217,243,92.75309999999999,196.1739,721.8801,186.1623,-0.0059,0.0,0.0
IWM,2026-03-18,246.0,PUT,0,-1,2026-03-18T15:36:02.452,2,0.11,96,0.12,-0.2338,-2.9461,0.8073,-524.8962,0.3817,-0.7272,967.0826,0.3046,2026-03-18T15:36:02.622,2026-03-18T15:36:00.339,0.8,0.95,0.09,0.12,61729.0,9908.0,2026-03-18T15:36:00.339,0.12,430,2026-03-18 15:35:51 EDT,246.58,0.9976478222078027,-0.23521777921973092,247.0,0.11499999999999999,0.009999999999999995,8.695652173913041,1601,-611.1016999999999,-1292.4873,4716.7061,-374.3138,0.0058,0.0,0.0
IWM,2026-03-18,247.0,CALL,0,1,2026-03-18T15:36:02.487,62,0.14,91,0.16,0.2992,-3.3096,0.9149,491.6559,0.4382,0.6117,-809.9348,0.3007,2026-03-18T15:36:02.622,2026-03-18T15:35:57.58,2.68,2.84,0.12,0.14,20362.0,2918.0,2026-03-18T15:35:57.58,0.14,430,2026-03-18 15:35:51 EDT,246.58,1.0017033011598668,0.17033011598669295,247.0,0.15000000000000002,0.01999999999999999,13.333333333333325,370,162.134,338.51300000000003,1224.5520000000001,110.70400000000001,0.0039,0.005,0.01
IWM,2026-03-18,247.0,PUT,0,-1,2026-03-18T15:36:02.497,18,0.56,12,0.59,-0.7007,-3.2849,0.9149,-303.6723,0.4382,0.6117,-809.9348,0.3007,2026-03-18T15:36:02.622,2026-03-18T15:35:56.311,1.09,1.37,0.23,0.6,52905.0,10367.0,2026-03-18T15:35:56.311,0.6,430,2026-03-18 15:35:51 EDT,246.58,1.0017033011598668,0.17033011598669295,247.0,0.575,0.029999999999999916,5.217391304347812,3290,-1441.6779999999999,-3010.021,10807.321,-2305.303,0.0039,-0.005,0.01
IWM,2026-03-18,248.0,PUT,0,-1,2026-03-18T15:36:02.532,77,1.4,122,1.51,-0.9279,-1.5706,0.3616,-157.8116,0.1419,0.5475,-881.938,0.3671,2026-03-18T15:36:02.622,2026-03-18T15:34:58.339,1.45,1.89,0.47,1.34,38709.0,7963.0,2026-03-18T15:34:58.339,1.34,430,2026-03-18 15:35:51 EDT,246.58,1.0057587801119312,0.5758780111931168,247.0,1.455,0.1100000000000001,7.56013745704468,8633,-1225.0227,-3121.6928,13558.9898,-8010.5607,,,
IWM,2026-03-19,238.0,CALL,1,1,2026-03-18T15:36:03.008,18,8.69,24,8.82,0.9406,-0.3509,1.5374,26.5081,0.0208,-0.4178,32.4117,0.4345,2026-03-18T15:36:03.562,2026-03-18T15:00:47.631,10.11,10.11,8.94,8.94,2.0,2.0,2026-03-18T15:00:47.631,8.94,430,2026-03-18 15:35:51 EDT,246.58,0.9652039905912888,-3.479600940871122,247.0,8.754999999999999,0.13000000000000078,1.4848657909765939,9,0.18719999999999998,13.8366,3.1581,8.4654,0.001,0.02,0.02
IWM,2026-03-19,238.0,PUT,1,-1,2026-03-18T15:36:03.005,36,0.15,161,0.16,-0.0605,-0.3346,1.5622,-99.5197,0.021,-0.4189,32.7109,0.4375,2026-03-18T15:36:03.562,2026-03-18T15:35:43.938,0.3,0.3,0.09,0.14,1061.0,145.0,2026-03-18T15:35:43.938,0.14,430,2026-03-18 15:35:51 EDT,246.58,0.9652039905912888,-3.479600940871122,247.0,0.155,0.010000000000000009,6.451612903225811,1554,-32.634,-2427.6588,519.9684,-94.017,0.0079,0.01,0.0
IWM,2026-03-19,239.0,CALL,1,1,2026-03-18T15:36:02.999,24,7.74,14,7.84,0.9242,-0.4026,1.8557,29.2551,0.0262,-0.483,35.92,0.4169,2026-03-18T15:36:03.562,2026-03-18T13:45:57.197,9.91,9.91,9.91,9.91,1.0,1.0,2026-03-18T13:45:57.197,9.91,430,2026-03-18 15:35:51 EDT,246.58,0.9692594695433531,-3.074053045664698,247.0,7.79,0.09999999999999964,1.2836970474967861,7,0.1834,12.989899999999999,2.8182,6.4694,-0.0098,-0.005,-0.01
IWM,2026-03-19,239.0,PUT,1,-1,2026-03-18T15:36:03.038,69,0.2,49,0.21,-0.0795,-0.4003,1.9255,-97.6399,0.0267,-0.4827,36.5746,0.4248,2026-03-18T15:36:03.562,2026-03-18T15:35:52.001,0.38,0.38,0.14,0.21,4966.0,287.0,2026-03-18T15:35:52.001,0.21,430,2026-03-18 15:35:51 EDT,246.58,0.9692594695433531,-3.074053045664698,247.0,0.20500000000000002,0.009999999999999981,4.878048780487795,1795,-47.926500000000004,-3456.2725,718.5385,-142.70250000000001,0.001,0.0,0.0
IWM,2026-03-19,240.0,CALL,1,1,2026-03-18T15:36:03.003,29,6.82,22,6.92,0.8965,-0.4947,2.341,32.1756,0.0336,-0.5427,39.7546,0.4111,2026-03-18T15:36:03.562,2026-03-18T15:23:19.853,8.72,9.04,6.88,6.88,19.0,19.0,2026-03-18T15:23:19.853,6.88,430,2026-03-18 15:35:51 EDT,246.58,0.9733149484954172,-2.668505150458274,247.0,6.87,0.09999999999999964,1.4556040756914068,36,1.2096,84.27600000000001,17.8092,32.274,-0.0068,-0.005,-0.01
