symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-26,245.0,CALL,0,1,2026-03-26T09:52:56.734,23,5.89,20,6.0,0.9342,-1.0103,0.8478,39.3841,0.0325,-0.3215,136.4008,0.5937,2026-03-26T09:52:56.939,2026-03-26T09:46:01.839,4.24,5.77,4.24,5.77,44.0,5.0,2026-03-26T09:46:01.839,5.77,35,2026-03-26 09:52:43 EDT,250.83,0.9767571662081888,-2.3242833791811237,251.0,5.945,0.11000000000000032,1.8502943650126211,313,255156.81750000003,26536.14,31622.390000000003,29240.460000000003,-0.0156,-0.38,0.0
IWM,2026-03-26,245.0,PUT,0,-1,2026-03-26T09:52:56.652,436,0.12,48,0.13,-0.0677,-1.0197,0.8678,-142.5259,0.0329,-0.3222,138.1504,0.5999,2026-03-26T09:52:56.939,2026-03-26T09:52:51.572,0.26,0.27,0.1,0.13,10418.0,637.0,2026-03-26T09:52:51.572,0.13,35,2026-03-26 09:52:43 EDT,250.83,0.9767571662081888,-2.3242833791811237,251.0,0.125,0.010000000000000009,8.000000000000007,2800,-2310645.96,-242984.0,285516.00000000006,-18956.0,-0.0188,0.01,0.0
IWM,2026-03-26,246.0,CALL,0,1,2026-03-26T09:52:56.276,17,4.99,11,5.07,0.8964,-1.3966,1.1928,44.7076,0.0462,-0.3817,160.1597,0.5874,2026-03-26T09:52:56.939,2026-03-26T09:50:00.673,3.37,5.08,3.37,5.08,54.0,13.0,2026-03-26T09:50:00.673,5.08,35,2026-03-26 09:52:43 EDT,250.83,0.9807439301518956,-1.9256069848104345,251.0,5.03,0.08000000000000007,1.5904572564612338,612,709206.7752,72999.36,85471.92,54859.68,-0.0063,-0.355,-0.03
IWM,2026-03-26,246.0,PUT,0,-1,2026-03-26T09:52:56.744,273,0.19,668,0.2,-0.1023,-1.3533,1.1828,-135.2623,0.046,-0.3826,159.6748,0.5843,2026-03-26T09:52:56.939,2026-03-26T09:52:56.273,0.41,0.45,0.15,0.2,11137.0,1329.0,2026-03-26T09:52:56.273,0.2,35,2026-03-26 09:52:43 EDT,250.83,0.9807439301518956,-1.9256069848104345,251.0,0.195,0.010000000000000009,5.128205128205133,4198,-4843727.964,-496539.44,568115.34,-42945.54,-0.0047,0.03,0.0
IWM,2026-03-26,247.0,CALL,0,1,2026-03-26T09:52:56.32,12,4.09,12,4.17,0.8498,-1.7415,1.5465,51.6052,0.062,-0.4199,169.9557,0.5671,2026-03-26T09:52:56.939,2026-03-26T09:52:18,2.8,4.39,2.58,4.39,41.0,28.0,2026-03-26T09:52:18,4.39,35,2026-03-26 09:52:43 EDT,250.83,0.9847306940956025,-1.526930590439745,251.0,4.13,0.08000000000000007,1.9370460048426168,681,1059054.426,105316.65000000001,118596.15000000001,57871.38,-0.0016,-0.345,-0.01
IWM,2026-03-26,247.0,PUT,0,-1,2026-03-26T09:52:56.732,114,0.29,99,0.3,-0.1488,-1.6974,1.5374,-128.9022,0.062,-0.4221,169.9103,0.564,2026-03-26T09:52:56.939,2026-03-26T09:52:52.018,0.68,0.69,0.25,0.29,6200.0,946.0,2026-03-26T09:52:52.018,0.29,35,2026-03-26 09:52:43 EDT,250.83,0.9847306940956025,-1.526930590439745,251.0,0.295,0.010000000000000009,3.3898305084745797,6228,-9685449.288,-957492.72,1057140.72,-92672.63999999998,-0.0086,0.04,0.0
IWM,2026-03-26,248.0,CALL,0,1,2026-03-26T09:52:56.176,11,3.24,11,3.3,0.7883,-2.0602,1.9188,60.4628,0.0805,-0.4199,162.2887,0.5421,2026-03-26T09:52:56.939,2026-03-26T09:52:56.85,1.99,3.5,1.87,3.25,634.0,111.0,2026-03-26T09:52:56.85,3.25,35,2026-03-26 09:52:43 EDT,250.83,0.9887174580393094,-1.1282541960690557,251.0,3.27,0.05999999999999961,1.8348623853210888,530,1070166.195,101696.40000000001,109190.59999999999,41779.899999999994,-0.0016,-0.325,0.01
IWM,2026-03-26,248.0,PUT,0,-1,2026-03-26T09:52:56.658,43,0.44,348,0.45,-0.2129,-2.0546,1.9258,-121.2773,0.0803,-0.4166,161.9239,0.5453,2026-03-26T09:52:56.939,2026-03-26T09:52:56.917,1.02,1.05,0.37,0.45,6879.0,1348.0,2026-03-26T09:52:56.917,0.45,35,2026-03-26 09:52:43 EDT,250.83,0.9887174580393094,-1.1282541960690557,251.0,0.445,0.010000000000000009,2.247191011235957,4437,-8936849.6613,-854477.4600000001,911626.02,-94463.73,-0.0023,0.07,0.0
IWM,2026-03-26,249.0,CALL,0,1,2026-03-26T09:52:56.759,46,2.46,1,2.51,0.7042,-2.3755,2.2898,70.9118,0.0992,-0.3439,128.3752,0.525,2026-03-26T09:52:56.939,2026-03-26T09:52:49.772,1.33,2.7,1.27,2.5,2182.0,450.0,2026-03-26T09:52:49.772,2.5,35,2026-03-26 09:52:43 EDT,250.83,0.9927042219830163,-0.7295778016983664,251.0,2.485,0.04999999999999982,2.012072434607639,1035,2575321.776,236994.30000000002,245864.25000000003,72884.70000000001,0.0032,-0.29,0.0
IWM,2026-03-26,249.0,PUT,0,-1,2026-03-26T09:52:56.762,49,0.65,11,0.66,-0.2949,-2.3372,2.2869,-113.957,0.0995,-0.3466,128.8037,0.5226,2026-03-26T09:52:56.939,2026-03-26T09:52:48.664,1.47,1.47,0.55,0.65,7435.0,1373.0,2026-03-26T09:52:48.664,0.65,35,2026-03-26 09:52:43 EDT,250.83,0.9927042219830163,-0.7295778016983664,251.0,0.655,0.010000000000000009,1.5267175572519098,2834,-7072979.589000001,-648107.4600000001,662362.4800000001,-83574.65999999999,-0.007,0.1,0.0
