symbol,expiration,strike,right,dte,cp_sign,timestamp_quote,bid_size,bid_quote,ask_size,ask_quote,delta,theta,vega,lambda,gamma,vanna,charm,implied_vol,underlying_timestamp,timestamp,open,high,low,close,volume,count,timestamp_trade,price,batch_id,ts,spot,moneyness,dist_atm_pct,atm_strike,mid,spread,spread_pct,oi,gamma_exp,vega_exp,theta_exp,delta_exp,iv_chg,mid_chg,spread_chg
IWM,2026-03-26,247.0,CALL,0,1,2026-03-26T12:14:14.047,29,3.18,29,3.28,0.9235,-1.0433,0.7448,71.5077,0.0644,-0.4748,236.9356,0.4296,2026-03-26T12:14:14.542,2026-03-26T11:17:20.73,2.8,4.8,2.58,2.95,70.0,47.0,2026-03-26T11:17:20.73,2.95,271,2026-03-26 12:13:56 EDT,250.15,0.98740755546672,-1.2592444533280056,250.0,3.23,0.09999999999999964,3.0959752321981315,681,1097067.8460000001,50720.88,71048.73,62890.35,-0.0137,0.075,0.03
IWM,2026-03-26,247.0,PUT,0,-1,2026-03-26T12:14:14.189,1,0.09,1307,0.1,-0.0848,-1.1467,0.8053,-234.5138,0.0669,-0.4738,246.0816,0.4472,2026-03-26T12:14:14.542,2026-03-26T12:13:52.129,0.68,0.69,0.07,0.09,29260.0,3668.0,2026-03-26T12:13:52.129,0.09,271,2026-03-26 12:13:56 EDT,250.15,0.98740755546672,-1.2592444533280056,250.0,0.095,0.010000000000000009,10.526315789473694,6228,-10422579.798,-501540.84,714164.76,-52813.44,0.0117,0.0,0.0
IWM,2026-03-26,248.0,CALL,0,1,2026-03-26T12:14:14.347,24,2.31,13,2.36,0.8442,-1.6575,1.2393,90.6624,0.1113,-0.5793,278.2314,0.414,2026-03-26T12:14:14.542,2026-03-26T12:13:17.343,1.99,4.0,1.87,2.31,1266.0,249.0,2026-03-26T12:13:17.343,2.31,271,2026-03-26 12:13:56 EDT,250.15,0.9914051569058565,-0.8594843094143536,250.0,2.335,0.04999999999999982,2.141327623126331,530,1475609.835,65682.90000000001,87847.5,44742.6,-0.0029,0.08,0.0
IWM,2026-03-26,248.0,PUT,0,-1,2026-03-26T12:14:14.437,394,0.18,261,0.19,-0.158,-1.6638,1.2511,-219.1909,0.1113,-0.5739,278.2244,0.4179,2026-03-26T12:14:14.542,2026-03-26T12:14:12.538,1.02,1.05,0.17,0.2,32980.0,5809.0,2026-03-26T12:14:12.538,0.2,271,2026-03-26 12:13:56 EDT,250.15,0.9914051569058565,-0.8594843094143536,250.0,0.185,0.010000000000000009,5.405405405405411,4437,-12353360.071500001,-555113.0700000001,738228.06,-70104.6,-0.002,-0.02,0.0
IWM,2026-03-26,249.0,CALL,0,1,2026-03-26T12:14:14.313,10,1.53,1,1.55,0.7095,-2.324,1.7759,115.2326,0.1622,-0.4572,215.287,0.4072,2026-03-26T12:14:14.542,2026-03-26T12:13:18.495,1.33,3.1,1.18,1.53,3755.0,851.0,2026-03-26T12:13:18.495,1.53,271,2026-03-26 12:13:56 EDT,250.15,0.995402758344993,-0.45972416550070183,250.0,1.54,0.020000000000000018,1.2987012987012998,1035,4199443.155,183805.65000000002,240533.99999999997,73433.25,-0.0049,0.06,0.0
IWM,2026-03-26,249.0,PUT,0,-1,2026-03-26T12:14:13.993,78,0.38,6,0.39,-0.2886,-2.2704,1.7708,-190.2876,0.1633,-0.4648,216.7636,0.4033,2026-03-26T12:14:14.542,2026-03-26T12:13:52.349,1.47,1.47,0.31,0.42,39929.0,7595.0,2026-03-26T12:13:52.349,0.42,271,2026-03-26 12:13:56 EDT,250.15,0.995402758344993,-0.45972416550070183,250.0,0.385,0.010000000000000009,2.5974025974025996,2834,-11576746.883,-501844.72,643431.36,-81789.24,-0.0049,-0.04,0.0
IWM,2026-03-26,250.0,CALL,0,1,2026-03-26T12:14:14.21,27,0.89,5,0.9,0.5317,-2.5944,2.0617,149.297,0.1953,-0.0725,31.3542,0.3925,2026-03-26T12:14:14.542,2026-03-26T12:14:11.368,0.86,2.32,0.67,0.88,24184.0,4912.0,2026-03-26T12:14:11.368,0.88,271,2026-03-26 12:13:56 EDT,250.15,0.9994003597841296,-0.05996402158705004,250.0,0.895,0.010000000000000009,1.1173184357541908,1173,5730608.8035,241837.41,304323.12,62368.409999999996,-0.0049,0.04,0.0
IWM,2026-03-26,250.0,PUT,0,-1,2026-03-26T12:14:14.48,68,0.74,7,0.75,-0.4683,-2.576,2.0617,-158.5026,0.1949,-0.0721,31.2687,0.3935,2026-03-26T12:14:14.542,2026-03-26T12:14:13.28,2.03,2.06,0.5,0.75,44004.0,8526.0,2026-03-26T12:14:13.28,0.75,271,2026-03-26 12:13:56 EDT,250.15,0.9994003597841296,-0.05996402158705004,250.0,0.745,0.010000000000000009,1.342281879194632,6173,-30095989.2655,-1272687.4100000001,1590164.8,-289081.59,-0.0059,-0.055,-0.01
IWM,2026-03-26,251.0,CALL,0,1,2026-03-26T12:14:14.467,60,0.45,33,0.46,0.3386,-2.3535,1.8966,188.2106,0.182,0.4003,-182.3311,0.3876,2026-03-26T12:14:14.542,2026-03-26T12:14:02.037,0.61,1.61,0.33,0.43,30665.0,6538.0,2026-03-26T12:14:02.037,0.43,271,2026-03-26 12:13:56 EDT,250.15,1.003397961223266,0.3397961223266018,250.0,0.455,0.010000000000000009,2.1978021978021998,2126,9679103.98,403217.16000000003,500354.10000000003,71986.36,-0.001,0.03,0.0
IWM,2026-03-26,251.0,PUT,0,-1,2026-03-26T12:14:14.467,19,1.29,3,1.31,-0.6605,-2.3424,1.8983,-127.1286,0.1812,0.3967,-181.5946,0.3896,2026-03-26T12:14:14.542,2026-03-26T12:13:51.681,2.64,2.71,0.77,1.39,17973.0,3490.0,2026-03-26T12:13:51.681,1.39,271,2026-03-26 12:13:56 EDT,250.15,1.003397961223266,0.3397961223266018,250.0,1.3,0.020000000000000018,1.5384615384615397,2476,-11223009.768000001,-470019.08,579978.24,-163539.8,-0.001,-0.07,0.0
IWM,2026-03-26,252.0,CALL,0,1,2026-03-26T12:14:14.481,276,0.2,222,0.21,0.1823,-1.7088,1.3714,228.3701,0.1309,0.6208,-282.8156,0.3896,2026-03-26T12:14:14.542,2026-03-26T12:13:59.93,0.36,1.03,0.15,0.19,34495.0,7294.0,2026-03-26T12:13:59.93,0.19,271,2026-03-26 12:13:56 EDT,250.15,1.0073955626624025,0.7395562662402535,250.0,0.20500000000000002,0.009999999999999981,4.878048780487795,3231,10579791.5685,443099.34,552113.28,58901.13,-0.0049,0.01,-0.0
IWM,2026-03-26,252.0,PUT,0,-1,2026-03-26T12:14:14.436,1,2.04,22,2.08,-0.811,-1.7696,1.4018,-98.4594,0.1302,0.6012,-281.4045,0.4003,2026-03-26T12:14:14.542,2026-03-26T12:12:00.736,3.42,3.54,1.18,2.19,5262.0,1000.0,2026-03-26T12:12:00.736,2.19,271,2026-03-26 12:13:56 EDT,250.15,1.0073955626624025,0.7395562662402535,250.0,2.06,0.040000000000000036,1.9417475728155356,1663,-5416312.839000001,-233119.34000000003,294284.48000000004,-134869.3,0.0019,-0.08,0.0
IWM,2026-03-26,253.0,CALL,0,1,2026-03-26T12:14:14.409,532,0.09,583,0.1,0.0912,-1.1096,0.8506,255.1619,0.0775,0.5392,-256.9299,0.4082,2026-03-26T12:14:14.542,2026-03-26T12:13:20.251,0.22,0.61,0.07,0.1,58942.0,8620.0,2026-03-26T12:13:20.251,0.1,271,2026-03-26 12:13:56 EDT,250.15,1.011393164101539,1.1393164101539055,250.0,0.095,0.010000000000000009,10.526315789473694,1732,3357763.45,147323.91999999998,192182.72,15795.840000000002,-0.0097,0.0,0.0
