epoch,lr-AdamW,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
,0.00017199856804716592,899,,,,,,,,,,,,
,0.00017199856804716592,899,,,,,,,,,,,,
12,,909,,,,,0.5247538685798645,0.5030868053436279,0.5054782629013062,0.6567022800445557,0.01313887070864439,0.6499999761581421,1.0,0.8560611009597778
12,,909,0.3463054895401001,0.0,0.3463054895401001,0.5125196576118469,,,,,,,,
,0.00018529766587957924,949,,,,,,,,,,,,
,0.00018529766587957924,949,,,,,,,,,,,,
,0.00018529766587957924,949,,,,,,,,,,,,
,0.00018529766587957924,949,,,,,,,,,,,,
13,,979,,,,,0.5259409546852112,0.5101460218429565,0.5075060129165649,0.659252405166626,0.015734460204839706,0.6499999761581421,1.0,0.8629377484321594
13,,979,0.3104269206523895,0.0,0.3104269206523895,0.508493959903717,,,,,,,,
,0.00019834051918843864,999,,,,,,,,,,,,
,0.00019834051918843864,999,,,,,,,,,,,,
,0.00019834051918843864,999,,,,,,,,,,,,
,0.00019834051918843864,999,,,,,,,,,,,,
,0.000211013052001083,1049,,,,,,,,,,,,
,0.000211013052001083,1049,,,,,,,,,,,,
14,,1049,,,,,0.5237919688224792,0.5049843788146973,0.5060222744941711,0.6568242907524109,0.009957862086594105,0.6499999761581421,1.0,0.8593561053276062
14,,1049,0.27721932530403137,0.0,0.27721932530403137,0.5047914981842041,,,,,,,,
,0.0002232044272581321,1099,,,,,,,,,,,,
,0.0002232044272581321,1099,,,,,,,,,,,,
,0.0002232044272581321,1099,,,,,,,,,,,,
,0.0002232044272581321,1099,,,,,,,,,,,,
15,,1119,,,,,0.5297067165374756,0.5102477669715881,0.5105494260787964,0.6622672080993652,0.026596667245030403,0.3499999940395355,1.0,0.8642066121101379
15,,1119,0.24763117730617523,0.0,0.24763117730617523,0.5071099400520325,,,,,,,,
,0.00023480801622141097,1149,,,,,,,,,,,,
,0.00023480801622141097,1149,,,,,,,,,,,,
,0.00023480801622141097,1149,,,,,,,,,,,,
,0.00023480801622141097,1149,,,,,,,,,,,,
16,,1189,,,,,0.5338613390922546,0.5106444954872131,0.5154527425765991,0.6576582193374634,0.04030989855527878,0.6000000238418579,1.0,0.8333231210708618
16,,1189,0.21962888538837433,0.0,0.21962888538837433,0.5072082877159119,,,,,,,,
,0.000245722331074872,1199,,,,,,,,,,,,
,0.000245722331074872,1199,,,,,,,,,,,,
,0.000245722331074872,1199,,,,,,,,,,,,
,0.000245722331074872,1199,,,,,,,,,,,,
,0.0002558519125617595,1249,,,,,,,,,,,,
,0.0002558519125617595,1249,,,,,,,,,,,,
,0.0002558519125617595,1249,,,,,,,,,,,,
,0.0002558519125617595,1249,,,,,,,,,,,,
17,,1259,,,,,0.5317124128341675,0.5094907879829407,0.509465754032135,0.6742222309112549,0.02982894331216812,0.550000011920929,1.0,0.9091504216194153
17,,1259,0.19526280462741852,0.0,0.19526280462741852,0.5031194090843201,,,,,,,,
,0.0002651081648945258,1299,,,,,,,,,,,,
,0.0002651081648945258,1299,,,,,,,,,,,,
,0.0002651081648945258,1299,,,,,,,,,,,,
,0.0002651081648945258,1299,,,,,,,,,,,,
18,,1329,,,,,0.5328584909439087,0.513974130153656,0.5110399127006531,0.6721723675727844,0.034258998930454254,0.550000011920929,1.0,0.8966660499572754
18,,1329,0.17577317357063293,0.0,0.17577317357063293,0.5055291652679443,,,,,,,,
,0.00027341013063517377,1349,,,,,,,,,,,,
,0.00027341013063517377,1349,,,,,,,,,,,,
,0.00027341013063517377,1349,,,,,,,,,,,,
,0.00027341013063517377,1349,,,,,,,,,,,,
,0.00028068519876873343,1399,,,,,,,,,,,,
,0.00028068519876873343,1399,,,,,,,,,,,,
19,,1399,,,,,0.5295020341873169,0.5102936625480652,0.5120452046394348,0.6483733057975769,0.030553670600056648,0.5,1.0,0.8097664713859558
19,,1399,0.16007079184055328,0.0,0.16007079184055328,0.5037305951118469,,,,,,,,
,0.0002868697397768884,1449,,,,,,,,,,,,
,0.0002868697397768884,1449,,,,,,,,,,,,
,0.0002868697397768884,1449,,,,,,,,,,,,
,0.0002868697397768884,1449,,,,,,,,,,,,
20,,1469,,,,,0.5309756398200989,0.5114427208900452,0.5119317770004272,0.6631091237068176,0.03032716177403927,0.6499999761581421,1.0,0.8639200925827026
20,,1469,0.14835621416568756,0.0,0.14835621416568756,0.5028523802757263,,,,,,,,
,0.00029190966215724573,1499,,,,,,,,,,,,
,0.00029190966215724573,1499,,,,,,,,,,,,
,0.00029190966215724573,1499,,,,,,,,,,,,
,0.00029190966215724573,1499,,,,,,,,,,,,
21,,1539,,,,,0.5309551358222961,0.5116729140281677,0.5091263055801392,0.6747097373008728,0.026913568377494812,0.6499999761581421,1.0,0.9136325716972351
21,,1539,0.13600113987922668,0.0,0.13600113987922668,0.5034285187721252,,,,,,,,
,0.00029576088552079385,1549,,,,,,,,,,,,
,0.00029576088552079385,1549,,,,,,,,,,,,
,0.00029576088552079385,1549,,,,,,,,,,,,
,0.00029576088552079385,1549,,,,,,,,,,,,
,0.00029838972612972414,1599,,,,,,,,,,,,
,0.00029838972612972414,1599,,,,,,,,,,,,
,0.00029838972612972414,1599,,,,,,,,,,,,
,0.00029838972612972414,1599,,,,,,,,,,,,
22,,1609,,,,,0.5300137400627136,0.5167670249938965,0.5100733637809753,0.666598916053772,0.026119038462638855,0.6499999761581421,1.0,0.8813777565956116
22,,1609,0.12476006895303726,0.0,0.12476006895303726,0.5020444393157959,,,,,,,,
,0.00029977319150360814,1649,,,,,,,,,,,,
,0.00029977319150360814,1649,,,,,,,,,,,,
,0.00029977319150360814,1649,,,,,,,,,,,,
,0.00029977319150360814,1649,,,,,,,,,,,,
23,,1679,,,,,0.5293997526168823,0.5091734528541565,0.5137521028518677,0.6549519896507263,0.02812967076897621,0.6499999761581421,1.0,0.8355743885040283
23,,1679,0.11586562544107437,0.0,0.11586562544107437,0.501243531703949,,,,,,,,
,0.0002999807319470622,1699,,,,,,,,,,,,
,0.0002999807319470622,1699,,,,,,,,,,,,
