epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,6,,,,,0.40849998593330383,0.4687499701976776,0.5,0.0,0.0,0.5,1.0,0.0
0,6,0.1736501306295395,0.0,0.1736501306295395,0.493739515542984,,,,,,,,
1,13,,,,,0.40849998593330383,0.41730615496635437,0.5,0.0,0.0,0.5,1.0,0.0
1,13,0.17508061230182648,0.0,0.17508061230182648,0.4961535632610321,,,,,,,,
2,20,,,,,0.40849998593330383,0.4154929518699646,0.5,0.0,0.0,0.5,1.0,0.0
2,20,0.17647969722747803,0.0,0.17647969722747803,0.49689769744873047,,,,,,,,
