epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.46799999475479126,0.4782060384750366,0.5,0.0,0.0,0.5,1.0,0.0
0,4,0.34895071387290955,0.0,0.34895071387290955,0.47208353877067566,,,,,,,,
1,9,,,,,0.46799999475479126,0.4761306345462799,0.5,0.0,0.0,0.5,1.0,0.0
1,9,0.3477763533592224,0.0,0.3477763533592224,0.47461870312690735,,,,,,,,
2,14,,,,,0.46860000491142273,0.4745676815509796,0.5004482269287109,0.005613772664219141,0.009141798131167889,0.5,1.0,0.002400000113993883
2,14,0.34784117341041565,0.0,0.34784117341041565,0.4809092879295349,,,,,,,,
3,19,,,,,0.46149998903274536,0.4778512716293335,0.5,0.20797176659107208,-0.045065805315971375,0.3499999940395355,1.0,0.14790000021457672
3,19,0.3514300286769867,0.0,0.3514300286769867,0.4904325008392334,,,,,,,,
4,24,,,,,0.4587000012397766,0.4790624678134918,0.5,0.15276256203651428,-0.05234786123037338,0.3499999940395355,1.0,0.10689999908208847
4,24,0.36990711092948914,0.0,0.36990711092948914,0.4973117411136627,,,,,,,,
5,29,,,,,0.46050000190734863,0.4800156354904175,0.5,0.07572383433580399,-0.048915959894657135,0.3499999940395355,1.0,0.05169999971985817
5,29,0.3566943109035492,0.0,0.3566943109035492,0.493750661611557,,,,,,,,
6,34,,,,,0.4603999853134155,0.47975611686706543,0.5,0.07348901033401489,-0.04958583414554596,0.3499999940395355,1.0,0.05040000006556511
6,34,0.351322203874588,0.0,0.351322203874588,0.4910215437412262,,,,,,,,
