epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.5221999883651733,0.472089946269989,0.5000939965248108,0.6764187812805176,-0.027396688237786293,0.550000011920929,1.0,0.944599986076355
0,4,0.21706867218017578,0.0,0.21706867218017578,0.5095586180686951,,,,,,,,
1,9,,,,,0.49720001220703125,0.4701816439628601,0.5000939965248108,0.6314863562583923,-0.0645846426486969,0.550000011920929,1.0,0.8324000239372253
1,9,0.21621792018413544,0.0,0.21621792018413544,0.5079542994499207,,,,,,,,
2,14,,,,,0.4832000136375427,0.4657967984676361,0.5000939965248108,0.5511550903320312,-0.050443001091480255,0.550000011920929,0.0,0.6194000244140625
2,14,0.2059483528137207,0.0,0.2059483528137207,0.5031698346138,,,,,,,,
3,19,,,,,0.47450000047683716,0.46041902899742126,0.5,0.4694598615169525,-0.045940373092889786,0.3499999940395355,0.0,0.4584999978542328
3,19,0.18637460470199585,0.0,0.18637460470199585,0.4965115189552307,,,,,,,,
4,24,,,,,0.4674000144004822,0.4557698965072632,0.5,0.44101595878601074,-0.055881012231111526,0.3499999940395355,0.0,0.42080000042915344
4,24,0.17816133797168732,0.0,0.17816133797168732,0.4916088283061981,,,,,,,,
