epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.532800018787384,0.5118258595466614,0.5009317994117737,0.6946405172348022,0.020814163610339165,0.5,1.0,0.9980000257492065
0,4,0.4934728443622589,0.054114654660224915,0.5097072720527649,0.8816817402839661,,,,,,,,
1,9,,,,,0.46709999442100525,0.5152018070220947,0.5,0.006710158661007881,-0.01778610423207283,0.3499999940395355,1.0,0.0044999998062849045
1,9,0.49134841561317444,0.009792107157409191,0.49428603053092957,0.6979851722717285,,,,,,,,
2,14,,,,,0.46790000796318054,0.4858942925930023,0.5,0.0007511737057939172,-0.005916825961321592,0.3499999940395355,1.0,0.0005000000237487257
2,14,0.48982203006744385,0.0012926519848406315,0.49020981788635254,0.36050575971603394,,,,,,,,
3,19,,,,,0.4546000063419342,0.47778964042663574,0.5,0.07276436686515808,-0.07395206391811371,0.3499999940395355,1.0,0.05620000138878822
3,19,0.48804083466529846,0.00033823103876784444,0.4881422519683838,0.38147616386413574,,,,,,,,
4,24,,,,,0.45890000462532043,0.4724353551864624,0.5,0.1717434525489807,-0.05175836384296417,0.3499999940395355,1.0,0.12129999697208405
4,24,0.4843299388885498,0.0,0.4843299388885498,0.466796875,,,,,,,,
